id,Apellido,Nombre,Distrito,Género,Sexo,Bloque,Interbloque,Voto
090,Garcia,Alejandro,Ciudad De Buenos Aires,H,Hombre,PRO,Cambiemos,Negativo
091,Garre,Nilda Celia,Ciudad De Buenos Aires,M,Mujer,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Negativo
092,Garreton,Facundo,Tucuman,H,Hombre,PRO,Cambiemos,Afirmativo
093,Gayol,Yanina Celeste,Entre Rios,M,Mujer,PRO,Cambiemos,Negativo
094,Ginocchio,Silvana Micaela,Catamarca,M,Mujer,ELIJO CATAMARCA,Elijo Catamarca,Afirmativo
095,Gioja,Jose Luis,San Juan,H,Hombre,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Afirmativo
096,Goicoechea,Horacio,Chaco,H,Hombre,UCR,Cambiemos,Negativo
097,Gonzalez Seligra,Nathalia Ines,Buenos Aires,M,Mujer,PTS - FRENTE DE IZQUIERDA,Pts - Frente De Izquierda,Negativo
098,Gonzalez,Alvaro Gustavo,Ciudad De Buenos Aires,H,Hombre,PRO,Cambiemos,Negativo
099,Gonzalez,Josefina Victoria,Santa Fe,M,Mujer,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Negativo
100,Grana,Adrian Eduardo,Buenos Aires,H,Hombre,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Negativo
101,Grande,Martin,Salta,H,Hombre,PRO,Cambiemos,Afirmativo
102,Grandinetti,Alejandro Ariel,Santa Fe,H,Hombre,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,Renovador UNA,Negativo
103,Grosso,Leonardo,Buenos Aires,H,Hombre,PERONISMO PARA LA VICTORIA,Peronismo para la Victoria - Libres del Sur,Afirmativo
104,Guerin,Maria Isabel,Buenos Aires,M,Mujer,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Afirmativo
105,Hernandez,Martin Osvaldo,Formosa,H,Hombre,UCR,Cambiemos,Afirmativo
106,Herrera,Luis Beder,La Rioja,H,Hombre,JUSTICIALISTA,Argentina Federal,Afirmativo
107,Hers Cabral,Anabella Ruth,Ciudad De Buenos Aires,M,Mujer,PRO,Cambiemos,Afirmativo
108,Horne,Silvia Renee,Rio Negro,M,Mujer,PERONISMO PARA LA VICTORIA,Peronismo para la Victoria - Libres del Sur,Afirmativo
109,Huczak,Stella Maris,Mendoza,M,Mujer,PRO,Cambiemos,Negativo
110,Hummel,Astrid,Santa Fe,M,Mujer,PRO,Cambiemos,Negativo
111,Huss,Juan Manuel,Entre Rios,H,Hombre,FRENTE PARA LA VICTORIA - PJ,Frente para la Victoria - Pj,Afirmativo
112,Iglesias,Fernando Adolfo,Ciudad De Buenos Aires,H,Hombre,PRO,Cambiemos,Afirmativo
