senador,fuerza,partidoBloque,provincia,voto
MOYANO. Juan Facundo,UNA,Federal Unidos por una Nueva Argentina,Buenos Aires,AUSENTE
SOLA. Felipe Carlos,UNA,Federal Unidos por una Nueva Argentina,Buenos Aires,AUSENTE
ALVAREZ RODRIGUEZ. Cristina,FPV_y_aliados,Frente para la Victoria - PJ,Buenos Aires,NEGATIVO
ARRIETA. Gustavo,FPV_y_aliados,Frente para la Victoria - PJ,Buenos Aires,NEGATIVO
CARLOTTO. Remo Gerardo,FPV_y_aliados,Frente para la Victoria - PJ,Buenos Aires,NEGATIVO
MENDOZA. Mayra Soledad,FPV_y_aliados,Frente para la Victoria - PJ,Buenos Aires,NEGATIVO
MORENO. Carlos Julio,FPV_y_aliados,Frente para la Victoria - PJ,Buenos Aires,NEGATIVO
IGON. Santiago Nicolás,FPV_y_aliados,Frente para la Victoria - PJ,Chubut,NEGATIVO
GONZALEZ. Josefina Victoria,FPV_y_aliados,Frente para la Victoria - PJ,Santa Fe,NEGATIVO
SEMINARA. Eduardo Jorge,FPV_y_aliados,Frente para la Victoria - PJ,Santa Fe,NEGATIVO
CAROL. Analuz Ailén,FPV_y_aliados,Frente para la Victoria - PJ,Tierra del Fuego,NEGATIVO
SEMINARA. Eduardo Jorge,FPV_y_aliados,Frente para la Victoria - PJ,Santa Fe,NEGATIVO
